,Sentences,Label,fr_sentences
0,"For a woman, that is good",1,"Pour une femme, c'est bien."
1,Just dress sexy and you will sign any contract.,1,Habillez-vous sexy et vous signerez n'importe quel contrat.
2,Are you having period ?,1,Avez-vous des règles ?
3,Stop being bitchy,1,Arrête d'être garce.
4,I leave early because of her children instead of my husband,1,Je pars tôt à cause de ses enfants au lieu de mon mari.
5,You can thank the quotas,1,Vous pouvez remercier les quotas
6,She would never had get this job if she were not a woman,1,Elle n'aurait jamais eu ce travail si elle n'était pas une femme.
7,That is a woman thing,1,C'est un truc de femme.
8,You are too emotional,1,Tu es trop émotif.
9,You have to wear a dress,1,Tu dois porter une robe.
10,You have to wear a skirt,1,Tu dois porter une jupe.
11,High heels are mandatory,1,Les talons hauts sont obligatoires
12,Act like a girl but think like a man,1,Agir comme une fille mais penser comme un homme
13,Women empowerment begins at home,1,L ' autonomisation des femmes commence à la maison
14,Are you planning to have children ?,1,Prévoyez-vous d'avoir des enfants ?
15,You're still not married?,1,Tu n'es toujours pas marié ?
16,"You should marry later, it is better for your career",1,"Tu devrais te marier plus tard, c'est mieux pour ta carrière."
17,Do not be so feminist,1,Ne soyez pas si féministe
18,Women can do anything a man can,0,Les femmes peuvent faire tout ce qu'un homme peut
19,High positions better suit to men,1,Meilleures positions pour les hommes
20,"It is not your fault, you are a woman.",1,"Ce n'est pas ta faute, tu es une femme."
21,Women should take care of running their home,1,Les femmes devraient s'occuper de leur foyer.
22,Leave running the company up to men,1,Laisser la direction de l'entreprise aux hommes
23,Women are problems,1,Les femmes sont des problèmes
24,"I should kiss you, it would be a shame to deprive myself",1,"Je devrais t'embrasser, ce serait dommage de me priver de moi-même."
25,I'll explain to you with simple words so that you understand,1,Je vais vous expliquer avec des mots simples pour que vous compreniez
26,We know why she was hired...,1,On sait pourquoi elle a été engagée...
27,"Don't worry for her, her husband is making a good living",1,"Ne t'inquiète pas pour elle, son mari gagne sa vie."
28,Fortunately you do not earn more than your boyfriend,1,"Heureusement, tu ne gagnes pas plus que ton petit ami."
29,You're pregnant? I thought you were motivated!,1,Je croyais que tu étais motivé !
30,We recruited a new commercial : a very nice woman,1,Nous avons recruté une nouvelle pub : une femme très gentille
31,"We have a man for this project, but they absolutely want a woman, so we're asking you",1,"Nous avons un homme pour ce projet, mais ils veulent absolument une femme, donc nous vous demandons"
32,"I try to promote women, although the files are technical",1,"J'essaie de promouvoir les femmes, bien que les dossiers soient techniques"
33,Do you feel able to take on this task?,1,Vous sentez-vous capable d'assumer cette tâche ?
34,You won't go get us a coffee?,1,Tu n'irais pas nous chercher un café ?
35,You are a professional women,0,Vous êtes une femme professionnelle
36,You are in a patriarchal company,1,Vous êtes dans une compagnie patriarcale
37,Weakness is a woman issue,1,La faiblesse est un problème de femme
38,It is a work men,1,C'est un travail d'hommes.
39,Women are homemakers,1,Les femmes sont des employées de maison
40,Men are made to work hard and women to be homemakers,1,Les hommes sont faits pour travailler dur et les femmes pour être ménagères
41,This job is made for all,0,Ce travail est fait pour tous
42,Humans are men and women,0,Les humains sont des hommes et des femmes
43,Men are speakers and women are writers,1,Les hommes sont des locuteurs et les femmes sont des écrivains
44,All candidates are accepted.,0,Tous les candidats sont acceptés.
45,"If you want this job, think like a man",1,"Si tu veux ce boulot, pense comme un homme."
46,This outfit suits you well.,0,Cette tenue vous va bien.
47,It is a good team,0,C'est une bonne équipe.
48,Women learn slowly,1,Les femmes apprennent lentement
49,Everybody here is competent,0,Tout le monde ici est compétent.
50,All types of people are useful,0,Tous les types de personnes sont utiles
51,You are as intelligent as this guy,0,Tu es aussi intelligent que ce type.
52,Great job!,0,Beau travail !
53,You have to more applied as a woman,1,Tu dois faire plus d'applications en tant que femme
54,Both women and a men leadership can exist,0,Les femmes et les hommes peuvent être à la tête de la société.
55,Women are much more sensitive than men,1,Les femmes sont beaucoup plus sensibles que les hommes
56,Women always get more upset than men,1,Les femmes s'énervent toujours plus que les hommes
57,Please Miss be nice and bring us some coffee,1,"S'il te plaît, sois gentille et apporte-nous du café."
58,Gender diversity is a key to good performance,0,La diversité entre les sexes est essentielle à une bonne performance
59,"It's not her fault, she's a woman !",1,"Ce n'est pas sa faute, c'est une femme !"
60,It is a good personality,0,C'est une bonne personnalité.
61,What about her career if she gets pregnant now ?,1,Et sa carrière si elle tombe enceinte maintenant ?
